geometry,area_m2,count,label,mean_elev,mean_ndvi
"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[-63.45271392722219, -9.888790215609866], [-63.443730774380995, -9.888790215609866], [-63.443730774380995, -9.87980706276867], [-63.45271392722219, -9.87980706276867], [-63.45271392722219, -9.888790215609866]]]}",982955.1166358183,1,1,217.76771653543307,0.4470916464914899
"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[-62.662196477197014, -9.987604896863012], [-62.65321332435582, -9.987604896863012], [-62.65321332435582, -9.97862174402183], [-62.662196477197014, -9.97862174402183], [-62.662196477197014, -9.987604896863012]]]}",982658.2659714035,1,1,212.0984251968504,0.35647745604014114
"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[-62.62626386583224, -9.745059770150753], [-62.60829756014985, -9.745059770150753], [-62.60829756014985, -9.72709346446836], [-62.61728071299105, -9.72709346446836], [-62.61728071299105, -9.736076617309557], [-62.62626386583224, -9.736076617309557], [-62.62626386583224, -9.745059770150753]]]}",2950184.3550212304,3,1,190.7296587926509,0.2977474329229032
"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[-62.58134810162626, -9.709127158785968], [-62.56338179594387, -9.709127158785968], [-62.56338179594387, -9.700144005944772], [-62.58134810162626, -9.700144005944772], [-62.58134810162626, -9.709127158785968]]]}",1966974.7191750368,2,1,199.8388998035364,0.665165561876275
"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[-62.49151657321431, -9.565396713326841], [-62.482533420373116, -9.565396713326841], [-62.482533420373116, -9.556413560485645], [-62.49151657321431, -9.556413560485645], [-62.49151657321431, -9.565396713326841]]]}",983906.1816160504,1,1,195.29133858267713,0.27174769825724376
"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[-62.482533420373116, -9.628278783215215], [-62.47355026753192, -9.628278783215215], [-62.47355026753192, -9.619295630374019], [-62.482533420373116, -9.619295630374019], [-62.482533420373116, -9.628278783215215]]]}",983723.7062675812,1,1,202.55511811023624,0.37564583020985376
"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[-62.45558396184953, -9.619295630374019], [-62.44660080900833, -9.619295630374019], [-62.44660080900833, -9.610312477532823], [-62.437617656167134, -9.610312477532823], [-62.437617656167134, -9.601329324691626], [-62.44660080900833, -9.601329324691626], [-62.44660080900833, -9.59234617185043], [-62.45558396184953, -9.59234617185043], [-62.45558396184953, -9.619295630374019]]]}",3935103.8278124207,4,1,206.98918387413968,0.2588483078600549
"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[-62.347786127755185, -9.924722826974651], [-62.33880297491399, -9.924722826974651], [-62.33880297491399, -9.915739674133455], [-62.347786127755185, -9.915739674133455], [-62.347786127755185, -9.924722826974651]]]}",982847.50917228,1,1,201.58661417322836,0.4136710598849875
"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[-62.347786127755185, -9.942689132657044], [-62.33880297491399, -9.942689132657044], [-62.33880297491399, -9.933705979815848], [-62.347786127755185, -9.933705979815848], [-62.347786127755185, -9.942689132657044]]]}",982793.5604773257,1,1,214.1811023622047,0.3100181337680424
"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[-62.40168504480236, -9.403699962185335], [-62.39270189196117, -9.403699962185335], [-62.39270189196117, -9.394716809344139], [-62.40168504480236, -9.394716809344139], [-62.40168504480236, -9.403699962185335]]]}",984369.9615432782,1,1,186.78740157480314,0.5161616587173702
